,A,mu,sigma,unique_id
mcr-1.197,0.0614911489687479,87.31890102072808,2.5183762550137514,61.0
mcr-1.198,0.069524897679612,87.36522720289483,2.301721678911787,61.0
mcr-1.199,0.0752304029549351,87.37439761976871,2.223141958145888,61.0
mcr-1.200,0.0694052792862887,87.33929016686379,2.239408499969948,61.0
mcr-1.201,0.0731886120836283,87.52005111576152,2.1998084782297376,61.0
mcr-1.202,0.0689112849561747,87.37762180244025,2.351451546942051,61.0
mcr-1.203,0.063078194776688,87.52284011334224,2.3473806168684312,61.0
mcr-1.204,0.0682261588213102,87.82607086039819,2.4844800225714785,61.0
mcr-1.205,0.0719062583810694,87.26425761944,2.247537936723876,61.0
mcr-1.206,0.0658447209132611,87.36871532131723,2.3650554966779445,61.0
mcr-1.207,0.0586189975759322,87.27468672744679,2.553060655858714,61.0
mcr-1.208,0.0645706186481152,87.43003170292594,2.433145957983,61.0
mcr-1.209,0.0673022216637548,87.20980706626928,2.5232794939886545,61.0
mcr-1.210,0.062646886796549,87.09951200097416,2.5442639607215414,61.0
mcr-1.211,0.0666869785613797,87.40936082533368,2.353999863509156,61.0
mcr-1.212,0.0655142458515042,87.39421440335927,2.289641493586917,61.0
mcr-1.213,0.065535659487761,87.52640299822805,2.3347423927440363,61.0
mcr-1.214,0.0655584007269474,87.19990299319947,2.582803035218302,61.0
mcr-1.215,0.0710382744911512,87.40508022611758,2.23290191709536,61.0
mcr-1.216,0.0721063070828215,87.17349431311409,2.322158040781007,61.0
mcr-1.217,0.0678782915111411,87.32653251375531,2.3454588568669394,61.0
mcr-1.218,0.0596471804904053,87.2331298633172,2.534205482922363,61.0
mcr-1.219,0.0652554160400379,87.31591012654295,2.534649948288078,61.0
mcr-1.220,0.0714640218563155,87.29654570671009,2.39078484405961,61.0
mcr-1.221,0.0709942920834512,87.17924129779118,2.311239782643455,61.0
mcr-1.222,0.0716587656643407,87.136554807206,2.421242909632398,61.0
mcr-1.223,0.0733307336122342,87.1538878327938,2.323907819194744,61.0
mcr-1.224,0.0666490662765167,87.32808058281672,2.451765385289403,61.0
mcr-1.225,0.072873169464399,87.37413755490844,2.278118127081628,61.0
mcr-1.226,0.0661887617113011,87.28383352926245,2.486371799459056,61.0
mcr-1.227,0.0668317421328408,87.2710192494817,2.4552802258296884,61.0
mcr-1.228,0.0680585148334627,87.27511594317872,2.413741567304701,61.0
mcr-1.229,0.0664833824169096,87.17322719817489,2.546647128776349,61.0
mcr-1.230,0.069247117549158,87.32493894974478,2.39526720684246,61.0
mcr-1.231,0.0599047454482398,87.19789750138617,2.655090533777204,61.0
mcr-1.232,0.0655357277278866,88.05816338735717,2.3700466865316927,61.0
mcr-1.233,0.0763087091029866,87.5898587785106,2.141993292455408,61.0
mcr-1.234,0.0575277403266437,87.8544194415159,2.5618153669200745,61.0
mcr-1.236,0.0629779847550867,87.24011319872014,2.3360713769218,61.0
mcr-1.237,0.0657691048467632,87.45640960078451,2.244693417454109,61.0
mcr-1.238,0.074257774576754,87.40235266379608,2.238496374107594,61.0
mcr-1.239,0.0661988177396299,87.42544058711249,2.3851619441040817,61.0
mcr-1.240,0.0665407460296306,87.36381869220945,2.3096806316689245,61.0
mcr-1.241,0.0673573636035806,87.45288232201328,2.324619706208773,61.0
mcr-1.242,0.0722370223891725,87.29147397864622,2.2189068025288785,61.0
mcr-1.243,0.0753100364207323,87.25989724724658,2.1468655289027283,61.0
mcr-1.244,0.0678129248830454,87.46438787172738,2.269036106438403,61.0
